Product,LastSceneDate,RunDate,Status
NDVI-MAX,2023-06-28,2023-06-30,RUNNING
S2_LEVEL_2A,2023-10-31,2023-11-01,RUNNING
S2_LEVEL_1C,2023-07-10,2023-07-10,RUNNING
